"#","Fusão (C)"
2,-272
1,-259
10,-249
9,-220
8,-218
7,-210
18,-189
36,-157
54,-112
17,-101
86,-71
80,-39
35,-7
87,27
55,29
31,30
37,39
15,44
19,64
33,81
11,98
16,113
53,114
49,157
3,180
34,217
50,232
84,254
83,271
85,302
81,303
48,321
82,327
30,420
52,449
51,630
12,639
93,640
94,640
13,660
88,700
56,725
38,769
58,795
63,822
70,824
102,827
20,839
99,860
98,900
57,920
59,935
32,937
47,962
97,986
95,994
60,1010
89,1050
79,1064
62,1072
29,1083
61,1100
92,1132
25,1245
4,1278
64,1311
96,1340
65,1360
14,1410
66,1412
28,1453
67,1470
27,1495
68,1522
39,1523
100,1527
26,1535
21,1539
69,1545
46,1552
91,1568
103,1627
71,1656
22,1660
90,1750
78,1772
40,1852
24,1857
23,1890
45,1966
72,2150
43,2200
44,2250
5,2300
77,2410
41,2468
42,2617
73,2996
76,3045
75,3180
74,3410
6,3500
